Units,Timepoint,1.1.1.1: Currency In Active Circulation,1.1.1.2: Demand Deposits,1.1.1: M1,1.1.2.1: Quasi-Money - Fixed Deposits,1.1.2.2: Quasi-Money - S$ Negotiable Certificate Of Deposits (NCDs),1.1.2.999: Quasi-Money - Savings And Other Deposits,1.1.2: Quasi-Money - Total,1.1: M2,1.2: Net Deposits With Finance Companies,1: M3
Million Dollars,2021-07-31,55924.7,220600.3,276525.0,173107.6,15.0,260558.5,433681.1,710206.1,12957.0,723163.1
Million Dollars,2021-08-31,56126.5,221322.7,277449.2,177284.6,15.0,262547.3,439846.9,717296.1,12884.6,730180.7
Million Dollars,2021-09-30,56303.9,222703.2,279007.1,179416.0,15.0,263832.6,443263.6,722270.7,13023.6,735294.3
Million Dollars,2021-10-31,56639.2,224057.3,280696.5,175937.3,0.0,265626.4,441563.7,722260.2,13040.2,735300.4
Million Dollars,2021-11-30,56863.9,228423.8,285287.7,178038.7,57.5,265977.3,444073.5,729361.2,12722.8,742084.0
Million Dollars,2021-12-31,57274.2,228902.1,286176.3,176350.9,57.5,270657.0,447065.4,733241.7,13062.3,746304.0
Million Dollars,2022-01-31,59246.2,227812.7,287058.9,175664.5,25.7,271513.8,447204.0,734262.9,13241.7,747504.6
Million Dollars,2022-02-28,58570.4,230055.6,288626.0,174792.5,25.7,274221.1,449039.3,737665.3,13138.2,750803.5
Million Dollars,2022-03-31,58537.7,234111.0,292648.7,179527.4,7.6,279427.1,458962.1,751610.8,13148.5,764759.3
Million Dollars,2022-04-30,58972.5,232458.2,291430.7,189529.3,7.6,280404.4,469941.3,761372.0,13215.0,774587.0
Million Dollars,2022-05-31,58903.4,229733.6,288637.0,189238.6,7.6,281098.7,470344.9,758981.9,13507.5,772489.4
Million Dollars,2022-06-30,58945.0,224867.9,283812.9,197350.5,82.6,278224.9,475658.0,759470.9,13939.7,773410.6
Million Dollars,2022-07-31,59069.7,219189.7,278259.4,203371.9,47.7,275993.3,479412.9,757672.3,14286.0,771958.3
Million Dollars,2022-08-31,59146.4,215234.3,274380.7,208814.9,109.0,270347.2,479271.1,753651.8,14519.3,768171.1
Million Dollars,2022-09-30,59253.9,209573.7,268827.6,222522.0,90.8,259655.9,482268.7,751096.3,14337.3,765433.6
Million Dollars,2022-10-31,59285.4,202276.1,261561.5,233290.4,91.1,250190.7,483572.2,745133.7,14373.8,759507.5
Million Dollars,2022-11-30,59162.0,201003.8,260165.8,240309.5,194.8,241060.8,481565.1,741730.9,14326.8,756057.7
Million Dollars,2022-12-31,59544.0,196003.3,255547.3,254006.5,413.4,237054.1,491474.0,747021.3,14599.2,761620.5
Million Dollars,2023-01-31,61024.4,189150.4,250174.8,267927.2,425.7,228915.1,497268.0,747442.8,14719.4,762162.2
Million Dollars,2023-02-28,60290.9,187504.8,247795.7,283154.6,426.3,224366.3,507947.2,755742.9,14468.4,770211.3
Million Dollars,2023-03-31,60237.8,191872.1,252109.9,292230.2,427.6,225563.0,518220.8,770330.7,14534.4,784865.1
Million Dollars,2023-04-30,60532.1,191671.3,252203.4,297360.6,530.6,225723.9,523615.1,775818.5,14466.0,790284.5
