Units,Timepoint,1.1: Landed,1.2: Non-Landed,1: Rental Index Of Residential Properties
Index,1990-03-31,,,75.5
Index,1990-06-30,,,82.6
Index,1990-09-30,,,84.1
Index,1990-12-31,,,85.7
Index,1991-03-31,,,90.4
Index,1991-06-30,,,93.8
Index,1991-09-30,,,101.4
Index,1991-12-31,,,99.1
Index,1992-03-31,,,100.4
Index,1992-06-30,,,104.7
Index,1992-09-30,,,107.3
Index,1992-12-31,,,105.4
Index,1993-03-31,,,104.7
Index,1993-06-30,,,108.7
Index,1993-09-30,,,111.5
Index,1993-12-31,,,107.1
Index,1994-03-31,,,107.0
Index,1994-06-30,,,105.4
Index,1994-09-30,,,102.6
Index,1994-12-31,,,101.6
Index,1995-03-31,,,103.4
Index,1995-06-30,,,106.2
Index,1995-09-30,,,107.7
Index,1995-12-31,,,108.5
Index,1996-03-31,,,114.6
Index,1996-06-30,,,107.7
Index,1996-09-30,,,108.1
Index,1996-12-31,,,104.8
Index,1997-03-31,,,100.5
Index,1997-06-30,,,97.1
Index,1997-09-30,,,101.1
Index,1997-12-31,,,99.2
Index,1998-03-31,,,92.5
Index,1998-06-30,,,86.2
Index,1998-09-30,,,79.6
Index,1998-12-31,73.3,71.4,71.7
Index,1999-03-31,69.4,67.6,67.9
Index,1999-06-30,70.4,68.3,68.7
Index,1999-09-30,71.5,69.0,69.4
Index,1999-12-31,73.0,69.9,70.4
Index,2000-03-31,72.6,70.2,70.6
Index,2000-06-30,73.9,71.4,71.9
Index,2000-09-30,75.5,72.7,73.2
Index,2000-12-31,72.5,70.4,70.8
Index,2001-03-31,72.2,70.2,70.6
Index,2001-06-30,72.2,70.0,70.4
Index,2001-09-30,72.3,69.3,69.8
Index,2001-12-31,70.8,68.4,68.8
Index,2002-03-31,69.1,67.9,67.9
Index,2002-06-30,68.9,67.6,67.9
Index,2002-09-30,69.4,68.2,68.4
Index,2002-12-31,68.6,67.6,67.8
Index,2003-03-31,67.8,66.0,66.3
Index,2003-06-30,67.3,64.7,65.2
Index,2003-09-30,66.8,64.1,64.6
Index,2003-12-31,66.4,64.0,64.4
Index,2004-03-31,66.4,63.4,64.0
Index,2004-06-30,66.1,63.5,64.0
Index,2004-09-30,66.7,63.6,64.2
Index,2004-12-31,67.0,64.0,64.6
Index,2005-03-31,67.3,64.7,65.2
Index,2005-06-30,67.6,65.1,65.6
Index,2005-09-30,68.4,65.6,66.1
Index,2005-12-31,68.6,66.0,66.5
Index,2006-03-31,69.3,66.7,67.2
Index,2006-06-30,70.1,68.3,68.7
Index,2006-09-30,73.3,71.8,72.1
Index,2006-12-31,75.6,75.9,75.9
Index,2007-03-31,79.4,82.1,81.6
Index,2007-06-30,85.9,91.1,90.1
Index,2007-09-30,93.9,101.9,100.4
Index,2007-12-31,100.7,108.7,107.2
Index,2008-03-31,107.3,115.1,113.6
Index,2008-06-30,112.2,117.5,116.5
Index,2008-09-30,112.9,116.2,115.5
Index,2008-12-31,108.2,109.6,109.3
Index,2009-03-31,100.0,100.0,100.0
Index,2009-06-30,96.3,94.4,94.8
Index,2009-09-30,94.2,92.4,92.8
Index,2009-12-31,95.6,92.9,93.3
Index,2010-03-31,99.2,97.4,97.7
Index,2010-06-30,104.7,103.2,103.5
Index,2010-09-30,108.6,106.9,107.2
Index,2010-12-31,110.1,110.0,110.0
Index,2011-03-31,112.4,111.2,111.4
Index,2011-06-30,114.7,112.4,112.8
Index,2011-09-30,115.8,113.2,113.7
Index,2011-12-31,116.3,113.7,114.2
Index,2012-03-31,115.5,114.3,114.5
Index,2012-06-30,116.0,114.6,114.8
Index,2012-09-30,117.1,115.6,115.9
Index,2012-12-31,117.5,116.5,116.6
Index,2013-03-31,119.0,117.3,117.6
Index,2013-06-30,119.6,117.6,117.9
Index,2013-09-30,120.0,117.8,118.2
Index,2013-12-31,119.3,117.3,117.6
Index,2014-03-31,116.8,116.8,116.8
Index,2014-06-30,114.4,116.5,116.1
Index,2014-09-30,114.5,115.2,115.2
Index,2014-12-31,112.6,114.3,114.1
Index,2015-03-31,111.2,112.2,112.2
Index,2015-06-30,110.1,111.0,111.0
Index,2015-09-30,110.0,110.2,110.3
Index,2015-12-31,107.5,109.0,108.9
Index,2016-03-31,105.1,107.7,107.5
Index,2016-06-30,103.4,107.3,106.9
Index,2016-09-30,103.4,105.8,105.6
Index,2016-12-31,100.1,105.1,104.5
Index,2017-03-31,97.8,104.4,103.6
Index,2017-06-30,97.7,104.2,103.4
Index,2017-09-30,98.3,104.1,103.4
Index,2017-12-31,97.0,103.3,102.5
Index,2018-03-31,97.0,103.6,102.8
Index,2018-06-30,100.5,104.2,103.8
Index,2018-09-30,101.0,104.5,104.1
Index,2018-12-31,98.9,103.7,103.1
Index,2019-03-31,99.1,104.8,104.1
Index,2019-06-30,99.4,106.3,105.5
Index,2019-09-30,97.1,106.7,105.6
Index,2019-12-31,95.5,105.7,104.5
Index,2020-03-31,94.6,107.1,105.6
Index,2020-06-30,92.4,105.9,104.3
Index,2020-09-30,92.3,105.3,103.8
Index,2020-12-31,92.9,105.2,103.9
Index,2021-03-31,93.5,107.7,106.2
Index,2021-06-30,94.8,111.0,109.3
Index,2021-09-30,99.3,112.6,111.3
Index,2021-12-31,100.5,115.6,114.2
Index,2022-03-31,105.8,120.3,119.0
Index,2022-06-30,109.2,128.8,127.0
Index,2022-09-30,121.1,139.5,137.9
Index,2022-12-31,128.7,150.0,148.1
Index,2023-03-31,147.4,159.3,158.8
