Units,Timepoint,1: Total
Index,1990-03-31,24.3
Index,1990-06-30,24.4
Index,1990-09-30,25.0
Index,1990-12-31,24.7
Index,1991-03-31,24.9
Index,1991-06-30,25.5
Index,1991-09-30,25.2
Index,1991-12-31,25.1
Index,1992-03-31,25.8
Index,1992-06-30,27.4
Index,1992-09-30,28.0
Index,1992-12-31,28.6
Index,1993-03-31,30.2
Index,1993-06-30,39.6
Index,1993-09-30,47.7
Index,1993-12-31,49.0
Index,1994-03-31,50.4
Index,1994-06-30,51.7
Index,1994-09-30,54.6
Index,1994-12-31,54.8
Index,1995-03-31,57.3
Index,1995-06-30,63.9
Index,1995-09-30,67.7
Index,1995-12-31,73.7
Index,1996-03-31,80.5
Index,1996-06-30,90.9
Index,1996-09-30,96.4
Index,1996-12-31,99.0
Index,1997-03-31,98.6
Index,1997-06-30,97.5
Index,1997-09-30,93.6
Index,1997-12-31,88.0
Index,1998-03-31,81.7
Index,1998-06-30,78.3
Index,1998-09-30,74.9
Index,1998-12-31,72.3
Index,1999-03-31,71.2
Index,1999-06-30,72.2
Index,1999-09-30,78.1
Index,1999-12-31,79.8
Index,2000-03-31,80.3
Index,2000-06-30,79.3
Index,2000-09-30,77.6
Index,2000-12-31,75.8
Index,2001-03-31,73.2
Index,2001-06-30,72.1
Index,2001-09-30,70.6
Index,2001-12-31,69.6
Index,2002-03-31,69.1
Index,2002-06-30,69.2
Index,2002-09-30,69.9
Index,2002-12-31,69.9
Index,2003-03-31,71.0
Index,2003-06-30,72.5
Index,2003-09-30,74.3
Index,2003-12-31,75.1
Index,2004-03-31,75.3
Index,2004-06-30,76.2
Index,2004-09-30,76.3
Index,2004-12-31,77.1
Index,2005-03-31,77.2
Index,2005-06-30,73.5
Index,2005-09-30,73.2
Index,2005-12-31,73.5
Index,2006-03-31,73.6
Index,2006-06-30,74.3
Index,2006-09-30,74.2
Index,2006-12-31,74.9
Index,2007-03-31,75.8
Index,2007-06-30,78.1
Index,2007-09-30,83.2
Index,2007-12-31,88.0
Index,2008-03-31,91.3
Index,2008-06-30,95.4
Index,2008-09-30,99.4
Index,2008-12-31,100.8
Index,2009-03-31,100.0
Index,2009-06-30,101.4
Index,2009-09-30,105.0
Index,2009-12-31,109.0
Index,2010-03-31,112.1
Index,2010-06-30,116.6
Index,2010-09-30,121.3
Index,2010-12-31,124.4
Index,2011-03-31,126.4
Index,2011-06-30,130.4
Index,2011-09-30,135.4
Index,2011-12-31,137.7
Index,2012-03-31,138.5
Index,2012-06-30,140.3
Index,2012-09-30,143.1
Index,2012-12-31,146.7
Index,2013-03-31,148.6
Index,2013-06-30,149.4
Index,2013-09-30,148.1
Index,2013-12-31,145.8
Index,2014-03-31,143.5
Index,2014-06-30,141.5
Index,2014-09-30,139.1
Index,2014-12-31,137.0
Index,2015-03-31,135.6
Index,2015-06-30,135.0
Index,2015-09-30,134.6
Index,2015-12-31,134.8
Index,2016-03-31,134.7
Index,2016-06-30,134.7
Index,2016-09-30,134.7
Index,2016-12-31,134.6
Index,2017-03-31,133.9
Index,2017-06-30,133.7
Index,2017-09-30,132.8
Index,2017-12-31,132.6
Index,2018-03-31,131.6
Index,2018-06-30,131.7
Index,2018-09-30,131.6
Index,2018-12-31,131.4
Index,2019-03-31,131.0
Index,2019-06-30,130.8
Index,2019-09-30,130.9
Index,2019-12-31,131.5
Index,2020-03-31,131.5
Index,2020-06-30,131.9
Index,2020-09-30,133.9
Index,2020-12-31,138.1
Index,2021-03-31,142.2
Index,2021-06-30,146.4
Index,2021-09-30,150.6
Index,2021-12-31,155.7
Index,2022-03-31,159.5
Index,2022-06-30,163.9
Index,2022-09-30,168.1
Index,2022-12-31,171.9
Index,2023-03-31,173.6
