Units,Timepoint,1: Money Supply - M1,2: Money Supply - Quasi-Money,3: Money Supply - M2,4.1: Domestic Credit - Government,4.2: Domestic Credit - Private Sector,4: Domestic Credit - Total,5: Government Deposits,6.1: Net Foreign Position - Monetary Authority,6.2: Net Foreign Position - Banks,6: Net Foreign Position - Total,7: Other Items
Million Dollars,2021-07-31,276525.0,433681.1,710206.1,96857.2,588250.9,685108.2,108112.8,547525.1,75677.4,623202.5,-489991.8
Million Dollars,2021-08-31,277449.2,439846.9,717296.1,97530.1,589607.9,687138.0,114128.7,551395.2,78152.3,629547.5,-485260.7
Million Dollars,2021-09-30,279007.1,443263.6,722270.7,98984.9,594375.5,693360.4,113381.9,554785.8,93082.0,647867.8,-505575.6
Million Dollars,2021-10-31,280696.5,441563.7,722260.2,94006.2,602068.2,696074.5,103913.5,554095.3,91230.8,645326.1,-515226.9
Million Dollars,2021-11-30,285287.7,444073.5,729361.2,94987.2,605691.0,700678.2,107684.1,555325.1,117808.5,673133.6,-536766.5
Million Dollars,2021-12-31,286176.3,447065.4,733241.7,95046.7,606081.3,701128.0,104230.4,552633.4,101642.8,654276.2,-517932.1
Million Dollars,2022-01-31,287058.9,447204.0,734262.9,94730.7,609038.3,703769.0,95555.0,555109.8,112888.4,667998.2,-541949.3
Million Dollars,2022-02-28,288626.0,449039.3,737665.3,97492.7,612388.6,709881.3,99031.0,568470.8,114180.5,682651.3,-555836.3
Million Dollars,2022-03-31,292648.7,458962.1,751610.8,175322.4,612053.0,787375.4,91547.1,503392.0,117998.9,621390.9,-565608.4
Million Dollars,2022-04-30,291430.7,469941.3,761372.0,189635.9,624426.5,814062.4,90805.7,493958.8,112088.2,606047.0,-567931.7
Million Dollars,2022-05-31,288637.0,470344.9,758981.9,226497.8,625710.7,852208.6,95870.6,462878.5,120753.5,583632.0,-580988.1
Million Dollars,2022-06-30,283812.9,475658.0,759470.9,279975.3,629223.1,909198.4,91616.4,429407.4,111780.3,541187.7,-599298.8
Million Dollars,2022-07-31,278259.4,479412.9,757672.3,336802.0,631614.6,968416.6,95210.5,390599.7,122207.4,512807.1,-628340.9
Million Dollars,2022-08-31,274380.7,479271.1,753651.8,343533.7,630317.8,973851.5,105103.7,395866.3,131122.2,526988.5,-642084.5
Million Dollars,2022-09-30,268827.6,482268.7,751096.3,344738.2,631185.1,975923.3,101618.5,402555.2,123808.2,526363.4,-649571.9
Million Dollars,2022-10-31,261561.5,483572.2,745133.7,347650.4,627656.6,975307.0,88436.1,391744.1,127907.3,519651.4,-661388.6
Million Dollars,2022-11-30,260165.8,481565.1,741730.9,342877.9,628822.0,971699.9,90322.2,391617.6,139487.1,531104.7,-670751.5
Million Dollars,2022-12-31,255547.3,491474.0,747021.3,340527.2,625800.7,966327.9,81263.7,380811.4,116704.3,497515.7,-635558.6
Million Dollars,2023-01-31,250174.8,497268.0,747442.8,340465.4,626313.9,966779.3,82117.6,376231.0,143730.7,519961.7,-657180.6
Million Dollars,2023-02-28,247795.7,507947.2,755742.9,335340.3,624988.9,960329.2,75842.1,388579.1,155418.1,543997.2,-672741.4
Million Dollars,2023-03-31,252109.9,518220.8,770330.7,337474.9,618086.6,955561.5,54847.3,408575.5,171710.9,580286.4,-710669.9
Million Dollars,2023-04-30,252203.4,523615.1,775818.5,338788.9,615932.9,954721.8,62707.3,408968.5,183293.2,592261.7,-708457.7
