Units,Timepoint,1.1: Landed,1.2: Non-Landed,1: Residential Properties
Index,1975-03-31,7.4,10.5,8.9
Index,1975-06-30,7.7,11.2,9.1
Index,1975-09-30,7.8,11.5,9.1
Index,1975-12-31,7.9,11.5,9.1
Index,1976-03-31,7.9,11.5,9.5
Index,1976-06-30,8.0,11.7,9.5
Index,1976-09-30,8.0,11.7,9.8
Index,1976-12-31,8.0,11.5,9.5
Index,1977-03-31,7.9,11.5,9.5
Index,1977-06-30,7.9,11.5,9.5
Index,1977-09-30,7.7,11.5,9.5
Index,1977-12-31,7.6,11.5,9.1
Index,1978-03-31,7.5,11.5,9.1
Index,1978-06-30,7.6,11.7,9.5
Index,1978-09-30,7.9,11.7,9.5
Index,1978-12-31,7.9,12.1,9.8
Index,1979-03-31,8.4,12.7,10.4
Index,1979-06-30,9.0,13.3,10.9
Index,1979-09-30,9.8,14.6,11.9
Index,1979-12-31,10.6,15.8,12.7
Index,1980-03-31,12.3,18.9,15.1
Index,1980-06-30,14.3,22.0,17.7
Index,1980-09-30,16.2,25.8,20.4
Index,1980-12-31,18.7,31.0,23.9
Index,1981-03-31,23.7,39.6,30.5
Index,1981-06-30,27.3,44.3,34.6
Index,1981-09-30,27.4,43.1,34.0
Index,1981-12-31,26.4,40.0,32.2
Index,1982-03-31,27.0,38.7,32.0
Index,1982-06-30,28.2,39.0,32.8
Index,1982-09-30,29.2,38.7,33.5
Index,1982-12-31,30.6,39.6,34.6
Index,1983-03-31,32.6,40.6,36.1
Index,1983-06-30,34.0,41.2,37.2
Index,1983-09-30,35.4,40.6,37.5
Index,1983-12-31,35.5,39.6,37.5
Index,1984-03-31,36.9,38.1,37.2
Index,1984-06-30,36.2,35.4,35.5
Index,1984-09-30,35.8,33.7,34.6
Index,1984-12-31,33.4,33.1,33.1
Index,1985-03-31,31.8,30.9,31.0
Index,1985-06-30,29.7,31.3,30.2
Index,1985-09-30,28.2,29.9,28.7
Index,1985-12-31,28.1,28.5,28.1
Index,1986-03-31,26.1,26.5,26.3
Index,1986-06-30,24.5,23.5,23.9
Index,1986-09-30,26.0,24.8,25.3
Index,1986-12-31,29.6,26.5,27.9
Index,1987-03-31,30.4,26.8,28.5
Index,1987-06-30,31.4,28.3,29.7
Index,1987-09-30,33.6,31.0,32.0
Index,1987-12-31,32.6,31.4,32.0
Index,1988-03-31,32.6,30.7,31.4
Index,1988-06-30,33.3,31.6,32.2
Index,1988-09-30,33.0,32.6,32.6
Index,1988-12-31,34.0,34.4,34.0
Index,1989-03-31,34.0,35.2,34.5
Index,1989-06-30,35.0,36.4,35.5
Index,1989-09-30,36.9,38.7,37.7
Index,1989-12-31,37.4,39.4,38.3
Index,1990-03-31,40.3,41.6,40.9
Index,1990-06-30,40.6,43.1,41.8
Index,1990-09-30,41.5,42.7,42.0
Index,1990-12-31,39.0,41.8,40.3
Index,1991-03-31,41.8,42.8,42.1
Index,1991-06-30,44.8,46.7,45.6
Index,1991-09-30,46.5,47.5,46.8
Index,1991-12-31,48.1,47.7,47.6
Index,1992-03-31,50.5,49.9,49.9
Index,1992-06-30,51.3,52.7,51.8
Index,1992-09-30,52.7,55.2,53.8
Index,1992-12-31,54.7,56.3,55.3
Index,1993-03-31,60.4,57.2,58.3
Index,1993-06-30,69.8,61.6,64.9
Index,1993-09-30,79.4,65.4,71.1
Index,1993-12-31,84.5,68.5,75.1
Index,1994-03-31,95.2,72.7,82.1
Index,1994-06-30,107.6,83.4,93.6
Index,1994-09-30,125.8,88.7,104.5
Index,1994-12-31,126.7,92.3,106.9
Index,1995-03-31,129.6,95.2,109.8
Index,1995-06-30,130.5,96.8,111.1
Index,1995-09-30,133.2,97.7,112.7
Index,1995-12-31,135.1,105.5,117.9
Index,1996-03-31,138.4,110.8,122.3
Index,1996-06-30,140.9,122.2,129.7
Index,1996-09-30,137.8,119.9,127.2
Index,1996-12-31,131.7,118.8,123.7
Index,1997-03-31,129.9,111.9,119.2
Index,1997-06-30,128.9,110.9,118.2
Index,1997-09-30,123.2,106.2,113.0
Index,1997-12-31,116.8,102.9,108.4
Index,1998-03-31,106.3,93.0,98.3
Index,1998-06-30,97.2,85.4,90.1
Index,1998-09-30,81.3,76.8,78.3
Index,1998-12-31,72.8,71.2,71.5
Index,1999-03-31,76.5,75.2,75.4
Index,1999-06-30,87.0,83.5,84.3
Index,1999-09-30,93.8,90.4,91.1
Index,1999-12-31,98.8,95.1,95.9
Index,2000-03-31,100.7,98.5,98.9
Index,2000-06-30,101.0,100.4,100.4
Index,2000-09-30,98.5,97.7,97.6
Index,2000-12-31,97.2,94.2,94.9
Index,2001-03-31,94.4,90.0,91.1
Index,2001-06-30,92.0,89.8,90.3
Index,2001-09-30,88.9,87.3,87.6
Index,2001-12-31,87.0,82.7,83.8
Index,2002-03-31,85.4,82.0,82.8
Index,2002-06-30,85.0,81.4,82.2
Index,2002-09-30,85.4,81.6,82.6
Index,2002-12-31,85.1,81.3,82.3
Index,2003-03-31,84.4,80.6,81.6
Index,2003-06-30,83.8,80.2,81.1
Index,2003-09-30,83.2,79.9,80.7
Index,2003-12-31,83.1,79.9,80.6
Index,2004-03-31,82.7,79.6,80.3
Index,2004-06-30,83.0,79.6,80.4
Index,2004-09-30,83.3,79.9,80.7
Index,2004-12-31,83.6,80.8,81.3
Index,2005-03-31,84.0,81.4,81.9
Index,2005-06-30,84.1,81.9,82.3
Index,2005-09-30,84.8,83.1,83.3
Index,2005-12-31,85.6,84.4,84.5
Index,2006-03-31,86.8,85.7,85.8
Index,2006-06-30,88.2,87.2,87.3
Index,2006-09-30,89.2,90.0,89.6
Index,2006-12-31,91.3,93.8,93.1
Index,2007-03-31,94.0,98.8,97.6
Index,2007-06-30,100.6,107.1,105.6
Index,2007-09-30,108.1,116.0,114.4
Index,2007-12-31,112.7,124.4,122.1
Index,2008-03-31,117.1,129.0,126.7
Index,2008-06-30,117.8,129.0,126.9
Index,2008-09-30,115.7,125.8,123.9
Index,2008-12-31,110.1,117.8,116.4
Index,2009-03-31,100.0,100.0,100.0
Index,2009-06-30,95.3,95.3,95.3
Index,2009-09-30,109.5,110.5,110.3
Index,2009-12-31,118.6,118.4,118.4
Index,2010-03-31,128.4,124.3,125.1
Index,2010-06-30,136.4,130.5,131.7
Index,2010-09-30,147.0,132.6,135.5
Index,2010-12-31,155.1,135.0,139.2
Index,2011-03-31,161.1,137.3,142.3
Index,2011-06-30,166.9,139.2,145.1
Index,2011-09-30,170.8,140.8,147.0
Index,2011-12-31,171.0,141.2,147.4
Index,2012-03-31,171.2,141.0,147.2
Index,2012-06-30,171.9,141.6,147.9
Index,2012-09-30,173.9,142.3,148.8
Index,2012-12-31,177.0,144.8,151.5
Index,2013-03-31,177.8,145.9,152.4
Index,2013-06-30,178.4,148.0,154.0
Index,2013-09-30,178.9,148.9,154.6
Index,2013-12-31,177.1,147.6,153.2
Index,2014-03-31,175.9,145.7,151.3
Index,2014-06-30,172.9,144.5,149.7
Index,2014-09-30,169.8,143.9,148.6
Index,2014-12-31,167.6,142.5,147.0
Index,2015-03-31,166.1,140.9,145.5
Index,2015-06-30,164.4,139.8,144.2
Index,2015-09-30,163.7,137.7,142.3
Index,2015-12-31,160.8,137.4,141.6
Index,2016-03-31,159.0,136.6,140.6
Index,2016-06-30,156.6,136.5,140.0
Index,2016-09-30,152.4,134.9,137.9
Index,2016-12-31,153.6,133.8,137.2
Index,2017-03-31,150.8,133.8,136.7
Index,2017-06-30,150.3,133.7,136.6
Index,2017-09-30,152.1,134.5,137.6
Index,2017-12-31,152.9,135.6,138.7
Index,2018-03-31,155.8,141.6,144.1
Index,2018-06-30,162.2,146.1,149.0
Index,2018-09-30,165.9,146.1,149.7
Index,2018-12-31,162.6,146.8,149.6
Index,2019-03-31,164.4,145.2,148.6
Index,2019-06-30,164.2,148.1,150.8
Index,2019-09-30,165.8,150.0,152.8
Index,2019-12-31,171.8,149.6,153.6
Index,2020-03-31,170.3,148.1,152.1
Index,2020-06-30,170.3,148.7,152.6
Index,2020-09-30,176.6,148.8,153.8
Index,2020-12-31,173.8,153.3,157.0
Index,2021-03-31,185.4,157.1,162.2
Index,2021-06-30,184.8,158.8,163.5
Index,2021-09-30,189.6,159.9,165.3
Index,2021-12-31,197.0,168.4,173.6
Index,2022-03-31,205.3,167.9,174.8
Index,2022-06-30,211.3,173.9,180.9
Index,2022-09-30,214.7,181.6,187.8
Index,2022-12-31,216.0,182.1,188.6
Index,2023-03-31,228.7,186.8,194.8
